book,region,id_name,territory_name,territory_name_old,capital_name,capital_lat_long,territory_secular_rule,territory_start_secular_rule,territory_end_secular_rule,territory_ecclesiastical_rule,territory_start_ecclesiastical_rule,territory_end_ecclesiastical_rule,territory_religion,territory_start_religion,territory_end_religion,alliance,start_alliance,source,table_on_wikipedia
SW,evangl Reichsstädte,Kaufbeuren,Kaufbeuren,Kaufbeuren,Kaufbeuren,"47.8830° N, 10.6260° E",imperial city,1286,1802,,,,lutheran,1579,,,,https://de.wikipedia.org/wiki/Kaufbeuren,n
SW,evangl Reichsstädte,Kempten,Kempten,Kempten,Kempten,"47.7286° N, 10.3158° E",Free imperial city,1289,1802,,,,Roman-catholic,,1527,SL,1536,https://de.wikipedia.org/wiki/Kempten_(Allg%C3%A4u),n
SW,evangl Reichsstädte,Kempten,Kempten,Kempten,Kempten,"47.7286° N, 10.3158° E",Free imperial city,1289,1802,,,,reformed,1527,1553,SL,1536,https://de.wikipedia.org/wiki/Kempten_(Allg%C3%A4u),n
SW,evangl Reichsstädte,Kempten,Kempten,Kempten,Kempten,"47.7286° N, 10.3158° E",Free imperial city,1289,1802,,,,lutheran,1553,,SL,1536,https://de.wikipedia.org/wiki/Kempten_(Allg%C3%A4u),n
SW,evangl Reichsstädte,Leutkirch,Leutkirch,Leutkirch,Leutkirch,"47.8267° N, 10.0214° E",imperial city,1293,1803,,,,Roman-catholic,,1546,,,https://de.wikipedia.org/wiki/Leutkirch_im_Allg%C3%A4u,n
SW,evangl Reichsstädte,Leutkirch,Leutkirch,Leutkirch,Leutkirch,"47.8267° N, 10.0214° E",imperial city,1293,1803,,,,lutheran,1546,,,,https://de.wikipedia.org/wiki/Leutkirch_im_Allg%C3%A4u,n
SW,evangl Reichsstädte,Isny,Isny,Isny,Isny,"47.6950° N, 10.0420° E",Free imperial city,1365,1802,,,,Roman-catholic,,1520?,SL,1531,https://de.wikipedia.org/wiki/Isny_im_Allg%C3%A4u#Reichsstadt,n
SW,evangl Reichsstädte,Isny,Isny,Isny,Isny,"47.6950° N, 10.0420° E",Free imperial city,1365,1802,,,,lutheran,1520?,,SL,1531,https://de.wikipedia.org/wiki/Isny_im_Allg%C3%A4u#Reichsstadt,n
SW,evangl Reichsstädte,Ravensburg,Ravensburg,Ravensburg,Ravensburg,"47.7783° N, 9.6121° E",imperial city,1276,1803,,,,Roman-catholic,,1544,SL,1546,https://de.wikipedia.org/wiki/Ravensburg,n
SW,evangl Reichsstädte,Ravensburg,Ravensburg,Ravensburg,Ravensburg,"47.7783° N, 9.6121° E",imperial city,1276,1803,,,,lutheran,1544,1547,SL,1546,https://de.wikipedia.org/wiki/Ravensburg,n
SW,evangl Reichsstädte,Ravensburg,Ravensburg,Ravensburg,Ravensburg,"47.7783° N, 9.6121° E",imperial city,1276,1803,,,,Roman-catholic,1547,,SL,1546,https://de.wikipedia.org/wiki/Ravensburg,n
SW,evangl Reichsstädte,Lindau,Lindau,Lindau,Lindau,"47.5798° N, 9.6789° E",imperial city,1274,1803,,,,Roman-catholic,,1528,SL,1531,https://de.wikipedia.org/wiki/Lindau_(Bodensee),n
SW,evangl Reichsstädte,Lindau,Lindau,Lindau,Lindau,"47.5798° N, 9.6789° E",imperial city,1274,1803,,,,reformed,1528,1577,SL,1531,https://de.wikipedia.org/wiki/Lindau_(Bodensee),n
SW,evangl Reichsstädte,Lindau,Lindau,Lindau,Lindau,"47.5798° N, 9.6789° E",imperial city,1274,1803,,,,lutheran,1577,,SL,1531,https://de.wikipedia.org/wiki/Lindau_(Bodensee),n
SW,evangl Reichsstädte,Konstanz,Konstanz,Konstanz,Konstanz,"47.6779° N, 9.1732° E",free imperial city,1213,1548,,,,Roman-catholic,,1527,SL,1531,https://de.wikipedia.org/wiki/Konstanz#Reichsstadt_(1192%E2%80%931548),n
SW,evangl Reichsstädte,Konstanz,Konstanz,Konstanz,Konstanz,"47.6779° N, 9.1732° E",free imperial city,1213,1548,,,,lutheran,1527,1548,SL,1531,https://de.wikipedia.org/wiki/Konstanz#Reichsstadt_(1192%E2%80%931548),n
SW,evangl Reichsstädte,Konstanz,Konstanz,Konstanz,Konstanz,"47.6779° N, 9.1732° E",zu Vorderösterreich,1548,1806,,,,Roman-catholic,1548,,SL,1531,https://de.wikipedia.org/wiki/Konstanz#Reichsstadt_(1192%E2%80%931548),n
SW,kath Reichsstädte,Rosheim,Rosheim,Rosheim,Rosheim,"48.4967° N, 7.4705° E",imperial city,1303,,,,,Roman-catholic,,1525?,,,https://de.wikipedia.org/wiki/Rosheim,n
SW,kath Reichsstädte,Rosheim,Rosheim,Rosheim,Rosheim,"48.4967° N, 7.4705° E",imperial city,1303,,,,,lutheran,1525?,,,,https://de.wikipedia.org/wiki/Rosheim,n
SW,kath Reichsstädte,Oberehnheim,Oberehnheim,Oberehnheim,Oberehnheim,"48.4623° N, 7.4817° E",imperial city,1240,1648,,,,Roman-catholic,,1520?,,,https://de.wikipedia.org/wiki/Obernai,n
